timestamp,sumOpenInterest,sumOpenInterestValue
1715299200000,69749.11700000,4397688801.76170000
1715299500000,69629.47300000,4378997556.97000000
1715299800000,69676.10200000,4382912374.16184500
1715300100000,69671.55700000,4384647063.83670000
1715300400000,69662.68400000,4379309798.31800000
1715300700000,69672.20500000,4377864616.17395100
1715301000000,69689.76400000,4382238708.82440000
1715301300000,69746.72000000,4383720845.44000000
1715301600000,69655.97400000,4373134394.07060000
1715301900000,69650.41300000,4376852313.06952600
1715302200000,69683.34900000,4372104706.65737800
1715302500000,69694.21400000,4374629149.14460000
1715302800000,69689.80800000,4377809203.84800000
1715303100000,69675.37400000,4382037556.68280000
1715303400000,69667.75800000,4373940747.70120100
1715303700000,69613.39600000,4365866782.19640000
1715304000000,69528.67500000,4361957907.66750000
1715304300000,69462.92400000,4359393631.94336600
1715304600000,69456.90800000,4362728652.56275750
1715304900000,69510.02200000,4369235351.63730500
1715305200000,69547.10500000,4373574018.58250000
1715305500000,69162.58300000,4338209186.15840000
1715305800000,69134.82300000,4340918163.58282800
1715306100000,69235.22500000,4350485368.66750000
1715306400000,69298.04200000,4355545717.02168700
1715306700000,69303.56000000,4350434447.98821300
1715307000000,69308.60400000,4351273793.23110900
1715307300000,69319.39400000,4349628347.77461200
1715307600000,69313.99800000,4351983335.42700000
1715307900000,69328.52500000,4356013374.69407500
1715308200000,69329.26400000,4358737760.60640000
1715308500000,69399.46300000,4366114535.82640000
1715308800000,69449.31700000,4367859163.19883000
1715309100000,69535.93800000,4378115643.71457200
1715309400000,69555.62100000,4375521198.25087300
1715309700000,69523.77300000,4367966185.05015500
1715310000000,69528.53900000,4371565172.50160000
1715310300000,69581.43900000,4368350572.99560000
1715310600000,69595.72000000,4374039694.65304500
1715310900000,69616.15000000,4372179646.21500000
1715311200000,69625.93500000,4376400902.57613600
1715311500000,69624.82300000,4377362787.43578000
1715311800000,69620.97800000,4378051588.20049600
1715312100000,69646.28500000,4378564433.15100000
1715312400000,69644.36600000,4377878092.31294900
1715312700000,69607.96500000,4371413237.15013900
1715313000000,69633.70700000,4375100416.10959150
1715313300000,69637.16400000,4378491945.31802800
1715313600000,69625.40400000,4378209092.35116000
1715313900000,69618.61400000,4379671839.46522600
1715314200000,69621.89400000,4372505582.01840000
1715314500000,69684.76100000,4380516477.50590000
1715314800000,69716.99000000,4385148596.40103800
1715315100000,69740.75700000,4387962897.07740000
1715315400000,69739.24500000,4391347753.08450000
1715315700000,69791.96600000,4389844869.43400000
1715316000000,69782.13400000,4390691871.28000000
1715316300000,69805.74300000,4386446298.05970000
1715316600000,69831.10800000,4392139267.43280000
1715316900000,69840.20200000,4393484844.26472000
1715317200000,69850.91400000,4394076521.54100000
1715317500000,69820.37400000,4392205041.90245400
1715317800000,69833.91800000,4389494173.27394100
1715318100000,69801.53000000,4380563414.55897500
1715318400000,69842.60100000,4384053616.95716800
1715318700000,69871.82500000,4381515414.91750000
1715319000000,69862.59500000,4378428553.84000000
1715319300000,69859.78800000,4383974150.17320000
1715319600000,69873.70600000,4383526076.70066200
1715319900000,69873.46500000,4381233563.29997000
1715320200000,69889.66300000,4386034335.75058200
1715320500000,69913.16800000,4388512477.21120000
1715320800000,69916.72800000,4386953065.05120000
1715321100000,69910.95400000,4390407911.20000000
1715321400000,69926.19100000,4395133816.49490000
1715321700000,69912.68500000,4396647960.47450000
1715322000000,69876.11600000,4392625148.00198500
1715322300000,69905.77400000,4393654911.73574700
1715322600000,69923.21700000,4393354966.95137900
1715322900000,69938.75000000,4395460489.31092200
1715323200000,69917.35200000,4394851505.73571400
1715323500000,69932.51000000,4400538759.62319500
1715323800000,69933.56000000,4403608477.31269900
1715324100000,69954.54400000,4418811685.39360000
1715324400000,70046.61100000,4422112599.04100000
1715324700000,70135.21700000,4435298818.62256400
1715325000000,70251.89500000,4428974518.75900000
1715325300000,70920.49800000,4472444662.69946400
1715325600000,71818.21900000,4545858978.42634200
1715325900000,71939.56300000,4550900253.37722500
1715326200000,72232.82600000,4568405984.64124700
1715326500000,72310.96000000,4565771863.16800000
1715326800000,72337.60600000,4569060207.77800000
1715327100000,72333.21000000,4570135174.25700000
1715327400000,72345.25200000,4564797303.54480000
1715327700000,72667.79500000,4586137210.24500000
1715328000000,72746.61400000,4586950449.83320000
1715328300000,72846.28300000,4590342424.80133800
1715328600000,72816.90800000,4583831640.29080000
1715328900000,72865.35100000,4582953689.56620000
1715329200000,72823.21900000,4584944827.94329300
1715329500000,72934.67100000,4590675942.48330000
1715329800000,72952.82700000,4593262233.74369800
1715330100000,73028.25700000,4597778729.63730000
1715330400000,73059.75600000,4600320325.25834000
1715330700000,73120.49300000,4600581437.10702100
1715331000000,73117.91300000,4601120158.51620000
1715331300000,73139.06500000,4604476824.70886200
1715331600000,73154.78100000,4610550810.61260000
1715331900000,73150.02400000,4602650715.09680000
1715332200000,73153.59100000,4600548869.03990000
1715332500000,73141.94800000,4599823967.77200000
1715332800000,73184.67000000,4605569374.59984000
1715333100000,73242.81100000,4609214041.91660000
1715333400000,73242.31000000,4606933974.76900000
1715333700000,73531.92600000,4629746486.99684700
1715334000000,73536.40500000,4631792146.30397100
1715334300000,73621.39300000,4649916251.97511000
1715334600000,73582.82900000,4641011017.45015050
1715334900000,73613.89700000,4643557261.37030000
1715335200000,73655.36600000,4648309127.35740000
1715335500000,73680.12300000,4643082330.00589800
1715335800000,73769.28900000,4644455420.00880000
1715336100000,73747.87300000,4640230918.73460000
1715336400000,73782.74000000,4643664307.38000000
1715336700000,73805.76600000,4649462758.08574100
1715337000000,73792.33700000,4652936668.71872400
1715337300000,73784.51100000,4652201959.96320000
1715337600000,73816.12700000,4649641438.95602200
1715337900000,73821.48000000,4650900882.96000000
1715338200000,73849.30400000,4652262763.54922000
1715338500000,73842.65800000,4653778130.35931200
1715338800000,73898.23600000,4656169966.51644700
1715339100000,73897.71000000,4652274671.67600000
1715339400000,73890.39500000,4647136889.45850000
1715339700000,73895.83800000,4646807363.34219300
1715340000000,73765.18700000,4642855738.82909100
1715340300000,73787.04000000,4648583520.00000000
1715340600000,73802.21700000,4650949293.34470000
1715340900000,73828.61700000,4651431739.71270000
1715341200000,73842.58500000,4651344429.15000000
1715341500000,73885.83800000,4656832265.96120000
1715341800000,73992.94700000,4671507712.37150000
1715342100000,74046.21800000,4679713572.97820000
1715342400000,74064.89000000,4686712542.76506700
1715342700000,74008.63800000,4694249682.95259300
1715343000000,73944.18900000,4670196666.53760000
1715343300000,73983.03200000,4679419375.69680000
1715343600000,74029.37300000,4674998433.17158800
1715343900000,74016.67200000,4669797030.71902800
1715344200000,73974.14900000,4676941596.37600000
1715344500000,74026.55600000,4680069910.15400000
1715344800000,74012.20500000,4677862332.09674200
1715345100000,74014.38300000,4672698231.87090000
1715345400000,73905.84000000,4654072462.32000000
1715345700000,73625.07300000,4639731975.67054200
1715346000000,73646.26600000,4639015118.47300000
1715346300000,73507.85400000,4632446978.85014900
1715346600000,73594.56300000,4632108030.32670000
1715346900000,73603.19800000,4634027904.80080000
1715347200000,73696.41500000,4637125824.63000000
1715347500000,73797.77500000,4640383899.14949600
1715347800000,73868.61200000,4638196770.45054200
1715348100000,73959.54900000,4656476920.82619200
1715348400000,73995.59600000,4654870555.81040000
1715348700000,73971.00500000,4651813648.69821200
1715349000000,73974.15500000,4665246661.81450000
1715349300000,74048.57500000,4669132971.72358400
1715349600000,74085.43600000,4665722954.23360000
1715349900000,73790.32500000,4641647560.71200750
1715350200000,73699.03200000,4624186803.61440000
1715350500000,73431.00000000,4592277278.31459700
1715350800000,73484.77600000,4579901921.81200000
1715351100000,73496.81400000,4589626145.13240000
1715351400000,73530.60900000,4572721721.61084650
1715351700000,73535.57200000,4564114913.65692600
1715352000000,73378.81500000,4544163826.95724000
1715352300000,73376.32900000,4534627375.75715200
1715352600000,73105.48200000,4494532343.90820000
1715352900000,71846.58600000,4383432058.44600000
1715353200000,72506.76000000,4424708805.99818600
1715353500000,73370.95000000,4483521345.10423400
1715353800000,73064.80600000,4445517201.43988700
1715354100000,73139.05100000,4450789181.74380000
1715354400000,72871.01400000,4446546214.22943300
1715354700000,72657.53000000,4444323060.79300000
1715355000000,72556.68800000,4438743015.26664400
1715355300000,72568.31400000,4440302740.20060000
1715355600000,72409.57800000,4414811970.66000000
1715355900000,72546.98200000,4420512508.90420000
1715356200000,72623.52800000,4416984760.01840000
1715356500000,72584.29600000,4423163604.93680000
1715356800000,72540.63500000,4417441763.02350000
1715357100000,72687.97700000,4410757325.94390000
1715357400000,72230.92800000,4398115325.20217400
1715357700000,72128.38200000,4403412108.38007400
1715358000000,72058.94600000,4405454853.92011600
1715358300000,72118.51600000,4405200270.23542800
1715358600000,72194.30900000,4390914114.79486400
1715358900000,72406.31900000,4398676638.61810000
1715359200000,72421.45100000,4409307622.68400000
1715359500000,72471.25200000,4410542419.71840000
1715359800000,72584.09000000,4421793377.56884600
1715360100000,72630.73500000,4433612482.75200000
1715360400000,72616.94700000,4432656418.06274800
1715360700000,72567.70500000,4419685275.63150000
1715361000000,72582.19700000,4413861305.74430000
1715361300000,72385.97300000,4393413451.16004500
1715361600000,72381.42200000,4378460788.91300000
1715361900000,72321.41200000,4369638016.61640000
1715362200000,72411.92300000,4376726667.21970800
1715362500000,72370.20600000,4365797810.13540000
1715362800000,72152.41100000,4359419811.65560000
1715363100000,72113.02900000,4367497904.35632700
1715363400000,72184.51800000,4354660980.48240000
1715363700000,72263.95400000,4357805482.01600000
1715364000000,72310.66500000,4365394846.05000000
1715364300000,72396.08000000,4366714357.36000000
1715364600000,72416.02300000,4372906723.27570000
1715364900000,72328.95800000,4365624014.06820000
1715365200000,72637.00800000,4383385359.17698900
1715365500000,72648.48300000,4387895724.71700000
1715365800000,72727.77800000,4396241451.76620000
1715366100000,72664.83300000,4400662577.51265600
1715366400000,72676.47600000,4399271928.71306300
1715366700000,72718.77000000,4405893038.50863700
1715367000000,72702.82300000,4402708474.10480000
1715367300000,72595.47600000,4396645805.56869700
1715367600000,72589.40300000,4405657021.97452000
1715367900000,72558.48800000,4411214283.38469300
1715368200000,72555.30400000,4411553494.04261900
1715368500000,72541.54400000,4404599231.05520000
1715368800000,72606.40100000,4406467955.40980000
1715369100000,72510.48300000,4392090474.17940000
1715369400000,72574.32300000,4399143390.67110000
1715369700000,72498.96300000,4397105789.91741000
1715370000000,72530.52900000,4400797100.12790000
1715370300000,72547.98100000,4403227158.81400000
1715370600000,72554.07400000,4397161420.99220000
1715370900000,72543.12900000,4408270090.37968900
1715371200000,72518.77700000,4400432136.48230000
1715371500000,72387.84000000,4400365543.33695800
1715371800000,72397.45800000,4409338084.44084550
1715372100000,72370.14900000,4401907075.91010000
1715372400000,72345.11600000,4396890177.08560000
1715372700000,72309.28900000,4386334168.82643300
1715373000000,72339.80100000,4390339168.69924100
1715373300000,72284.74600000,4381662762.85820000
1715373600000,72302.37500000,4384553394.51250000
1715373900000,72296.06200000,4383316326.28576000
1715374200000,72312.93900000,4381265108.42965300
1715374500000,72421.94700000,4384665234.48794100
